fecha,codigo_art,dias_reaprovisionamiento,ingreso,egreso
2022-08-22,09-10016N,90,636,12
2022-08-23,09-10016N,90,68,24
2022-08-24,09-10016N,90,4,68
2022-08-25,09-10016N,90,0,68
2022-08-29,09-10016N,90,176,644
2022-08-30,09-10016N,90,0,4
2022-08-31,09-10016N,90,0,12
2022-09-08,09-10016N,90,132,0
2022-09-12,09-10016N,90,0,112
2022-09-14,09-10016N,90,54,126
2022-09-15,09-10016N,90,120,220
2022-09-16,09-10016N,90,0,120
2022-09-19,09-10016N,90,0,20
2022-09-20,09-10016N,90,0,4
2022-09-21,09-10016N,90,8,196
2022-09-28,09-10016N,90,68,220
2022-10-06,09-10016N,90,8,4
2022-10-11,09-10016N,90,320,4
2022-10-13,09-10016N,90,68,0
2022-10-14,09-10016N,90,48,96
2022-10-17,09-10016N,90,16,104
2022-10-19,09-10016N,90,0,4
2022-10-20,09-10016N,90,420,0
2022-10-21,09-10016N,90,48,100
2022-10-25,09-10016N,90,0,208
2022-10-26,09-10016N,90,0,0
2022-10-27,09-10016N,90,4,12
2022-10-28,09-10016N,90,448,24
2022-10-31,09-10016N,90,24,340
2022-11-09,09-10016N,90,48,160
2022-11-10,09-10016N,90,0,12
2022-11-11,09-10016N,90,0,68
2022-11-15,09-10016N,90,72,156
2022-11-16,09-10016N,90,0,172
2022-11-17,09-10016N,90,1,1
2022-11-18,09-10016N,90,40,64
2022-11-25,09-10016N,90,60,60
2022-11-30,09-10016N,90,0,40
2022-12-07,09-10016N,90,4,0
2022-12-21,09-10016N,90,452,0
2022-12-22,09-10016N,90,4,20
2022-12-23,09-10016N,90,8,24
2022-12-26,09-10016N,90,24,84
2022-12-27,09-10016N,90,540,36
2022-12-28,09-10016N,90,40,164
2022-12-29,09-10016N,90,8,8
2023-01-02,09-10016N,90,12,0
2023-01-09,09-10016N,90,0,0
2023-01-11,09-10016N,90,0,324
2023-01-12,09-10016N,90,0,12
2023-01-13,09-10016N,90,128,280
2023-01-18,09-10016N,90,0,12
2023-01-23,09-10016N,90,0,20
2023-01-24,09-10016N,90,0,20
2023-01-26,09-10016N,90,60,252
2023-01-27,09-10016N,90,0,8
2023-01-31,09-10016N,90,936,4
2023-02-01,09-10016N,90,500,0
2023-02-02,09-10016N,90,4,0
2023-02-09,09-10016N,90,60,140
2023-02-10,09-10016N,90,0,60
2023-02-14,09-10016N,90,100,480
2023-02-16,09-10016N,90,0,56
2023-02-24,09-10016N,90,8,8
2023-02-27,09-10016N,90,8,40
2023-02-28,09-10016N,90,44,284
2023-03-06,09-10016N,90,0,12
2023-03-14,09-10016N,90,480,100
2023-03-16,09-10016N,90,200,200
2023-03-20,09-10016N,90,184,672
2023-03-21,09-10016N,90,0,8
2023-03-22,09-10016N,90,0,120
2023-03-23,09-10016N,90,12,12
2023-03-30,09-10016N,90,0,100
2023-03-31,09-10016N,90,0,20
2023-04-01,09-10016N,90,20,20
2023-04-10,09-10016N,90,220,0
2023-04-14,09-10016N,90,4,140
2023-04-17,09-10016N,90,0,4
2023-04-18,09-10016N,90,0,12
2023-04-19,09-10016N,90,4,16
2023-04-21,09-10016N,90,296,0
2023-04-27,09-10016N,90,8,132
2023-04-28,09-10016N,90,8,0
2023-04-29,09-10016N,90,8,16
